n_entradas,grasp_pr,t_grasp_pr,grasp,t_grasp
100,2396.000000,15.625000,2397.000000, 0.000000
100,2397.000000,0.000000,2396.000000, 15.625000
100,2397.000000,15.625000,2396.000000, 0.000000
100,2397.000000,0.000000,2396.000000, 0.000000
100,2397.000000,0.000000,2396.000000, 15.625000
200,2690.000000,31.250000,2697.000000, 15.625000
200,2690.000000,15.625000,2697.000000, 15.625000
200,2690.000000,15.625000,2697.000000, 15.625000
200,2690.000000,31.250000,2697.000000, 15.625000
200,2690.000000,15.625000,2697.000000, 15.625000
500,7017.000000,125.000000,7012.000000, 109.375000
500,7017.000000,93.750000,7012.000000, 78.125000
500,7017.000000,109.375000,7012.000000, 93.750000
500,7116.000000,125.000000,7111.000000, 78.125000
500,7116.000000,125.000000,7111.000000, 78.125000
1000,14290.000000,343.750000,14288.000000, 328.125000
1000,14282.000000,359.375000,14285.000000, 343.750000
1000,14285.000000,390.625000,14268.000000, 328.125000
1000,14285.000000,390.625000,14268.000000, 328.125000
1000,14383.000000,390.625000,14263.000000, 343.750000
2000,28919.000000,1656.250000,28911.000000, 1453.125000
2000,28918.000000,1531.250000,28918.000000, 1312.500000
2000,28912.000000,1609.375000,28890.000000, 1296.875000
2000,28913.000000,1390.625000,28911.000000, 1343.750000
2000,28918.000000,1687.500000,28900.000000, 1312.500000
5000,72405.000000,10000.000000,72204.000000, 8265.625000
5000,72401.000000,9187.500000,72003.000000, 8500.000000
5000,72289.000000,9687.500000,72200.000000, 8187.500000
5000,72404.000000,9687.500000,72499.000000, 8281.250000
5000,72105.000000,8937.500000,72390.000000, 8390.625000
10000,146419.000000,41812.500000,146282.000000, 37609.375000
10000,146602.000000,47296.875000,146101.000000, 42937.500000
10000,146417.000000,40968.750000,146517.000000, 37171.875000
10000,146415.000000,41109.375000,146718.000000, 39406.250000
10000,146916.000000,39937.500000,146103.000000, 35093.750000
