n_entradas,grasp_pr,t_grasp_pr,grasp,t_grasp
100,1330.000000,15.625000,1218.000000, 0.000000
100,1330.000000,15.625000,1218.000000, 0.000000
100,1330.000000,15.625000,1218.000000, 0.000000
100,1330.000000,0.000000,1218.000000, 15.625000
100,1330.000000,15.625000,1218.000000, 0.000000
200,1273.000000,31.250000,1263.000000, 15.625000
200,1273.000000,15.625000,1263.000000, 31.250000
200,1273.000000,31.250000,1263.000000, 31.250000
200,1273.000000,15.625000,1263.000000, 31.250000
200,1273.000000,31.250000,1263.000000, 15.625000
500,4489.000000,109.375000,4537.000000, 125.000000
500,4523.000000,140.625000,4545.000000, 109.375000
500,4523.000000,140.625000,4545.000000, 109.375000
500,4523.000000,109.375000,4545.000000, 109.375000
500,4507.000000,125.000000,4483.000000, 93.750000
1000,8695.000000,500.000000,8783.000000, 406.250000
1000,8849.000000,468.750000,8763.000000, 375.000000
1000,8620.000000,468.750000,8879.000000, 421.875000
1000,8937.000000,484.375000,8552.000000, 406.250000
1000,8755.000000,468.750000,8754.000000, 406.250000
2000,17278.000000,1843.750000,17583.000000, 1578.125000
2000,17160.000000,1781.250000,17240.000000, 1640.625000
2000,17086.000000,1875.000000,17640.000000, 1531.250000
2000,17476.000000,1750.000000,17125.000000, 1781.250000
2000,17638.000000,1875.000000,17069.000000, 1687.500000
5000,42912.000000,10421.875000,43038.000000, 9265.625000
5000,43419.000000,11062.500000,43493.000000, 9171.875000
5000,43054.000000,11312.500000,42972.000000, 9562.500000
5000,44287.000000,10078.125000,41932.000000, 9265.625000
5000,43357.000000,10656.250000,42930.000000, 9046.875000
10000,90038.000000,43578.125000,88994.000000, 38421.875000
10000,89383.000000,40406.250000,89407.000000, 38156.250000
10000,88819.000000,40546.875000,89364.000000, 38453.125000
10000,89964.000000,41140.625000,89165.000000, 37703.125000
10000,87483.000000,43296.875000,88471.000000, 37859.375000
